,year,donor,recipient,coalesced_purpose_code,coalesced_purpose_name,year_purpose_total,year_total,categories
734601,2010,United States,Bangladesh,60061,Debt for development swap,419541.0,183991530.823,Food
841050,2010,United States,Bangladesh,31120,Agricultural development,8152411.0,183991530.823,Agriculture/Env
952306,2010,United States,Bangladesh,11000,"Education, combinations of purposes",4611290.0,183991530.823,
961395,2010,United States,Bangladesh,25020,Privatisation,5553740.0,183991530.823,Banking/Business
1931,2010,United States,Bangladesh,91010,Administrative costs,134985.58299999998,183991530.823,Administrative
225020,2010,United States,Bangladesh,11110,Education policy and administrative management,558252.5,183991530.823,Education
743379,2010,United States,Ukraine,12250,Infectious & Parasitic disease control,6302425.0,163721468.92000002,Health
647291,2010,United States,Ukraine,33110,Trade policy and admin. management,237657.0,163721468.92000002,Agriculture/Env
658208,2010,United States,Ukraine,72010,Emergency/distress relief,800675.0,163721468.92000002,Emergeny Disaster Relief
669113,2010,United States,Ukraine,24010,Financial policy & admin. management,2575094.0,163721468.92000002,Banking/Business
725780,2010,United States,Ukraine,15140,Government administration,395988.0,163721468.92000002,Civil Society
725781,2010,United States,Ukraine,23010,Energy policy and admin. management,6040016.0,163721468.92000002,Energy
830315,2010,United States,Ukraine,14020,Water supply & sanit. - large systems,890974.0,163721468.92000002,Water
46007,2010,United States,Ukraine,21050,Air transport,1979.94,163721468.92000002,Trans/Comm
57,2010,United States,Ukraine,91010,Administrative costs,2853188.426,163721468.92000002,Administrative
328385,2010,United States,Ukraine,11430,Advanced tech. & managerial training,469345.0,163721468.92000002,Education
705853,2010,United States,Peru,43010,Multisector aid,34611130.0,159354215.782,Agriculture/Env
782137,2010,United States,Peru,12263,Tuberculosis control,590023.0,159354215.782,Health
714235,2010,United States,Peru,15250,Land mine clearance,1964099.0,159354215.782,Civil Society
659392,2010,United States,Peru,14050,Waste management/disposal,257393.0,159354215.782,Water
842122,2010,United States,Peru,60061,Debt for development swap,997174.0,159354215.782,Food
530793,2010,United States,Peru,23064,Nuclear power plants,117269.0,159354215.782,Energy
75428,2010,United States,Peru,99810,Sectors not specified,14905.97,159354215.782,Administrative
153404,2010,United States,Peru,11220,Primary education,9899.71,159354215.782,Education
272696,2010,United States,Peru,70000,"Emergency Assistance and Reconstruction, combinations of purposes",24736.4,159354215.782,Emergeny Disaster Relief
272868,2010,United States,Peru,25020,Privatisation,2529379.3,159354215.782,Banking/Business
872401,2010,United States,Philippines,25010,Business support services & institutions,1391900.0,155339869.945,Banking/Business
742855,2010,United States,Philippines,21010,Transport policy & admin. management,10992357.0,155339869.945,Trans/Comm
766971,2010,United States,Philippines,60061,Debt for development swap,523658.0,155339869.945,Food
771848,2010,United States,Philippines,15220,"Civilian peace-building, conflict prevention and resolution",544484.0,155339869.945,Civil Society
801247,2010,United States,Philippines,12240,Basic nutrition,692980.0,155339869.945,Health
806075,2010,United States,Philippines,33105,"Trade policy and regulations, purpose unspecified (includes trade and trade promotion activities) or does not fit under any other applicable codes",717538.0,155339869.945,Agriculture/Env
992511,2010,United States,Philippines,11220,Primary education,12429300.0,155339869.945,Education
710348,2010,United States,Philippines,23065,Hydro-electric power plants,356390.0,155339869.945,Energy
73832,2010,United States,Philippines,72010,Material relief assistance and services,1573121.62,155339869.945,Emergeny Disaster Relief
2154,2010,United States,Philippines,91010,Administrative costs,3163568.3140000002,155339869.945,Administrative
884852,2010,United States,Kosovo,12100,"Health, general, combinations of activities",1593550.0,153143545.328,Health
719290,2010,United States,Kosovo,31120,Agricultural development,3781690.0,153143545.328,Agriculture/Env
758889,2010,United States,Kosovo,15151,Elections,494986.0,153143545.328,Civil Society
900550,2010,United States,Kosovo,14020,Water supply & sanit. - large systems,1979940.0,153143545.328,Water
900551,2010,United States,Kosovo,25010,Business support services & institutions,1979940.0,153143545.328,Banking/Business
910766,2010,United States,Kosovo,11000,"Education, combinations of purposes",6912970.0,153143545.328,
979621,2010,United States,Kosovo,23005,"Energy generation and supply, purpose unspecified or does not fit under any other applicable codes",8513750.0,153143545.328,Energy
617343,2010,United States,Kosovo,22010,Communications policy and administrative management,197994.0,153143545.328,Trans/Comm
1031,2010,United States,Kosovo,91010,Administrative costs,6135025.248,153143545.328,Administrative
354269,2010,United States,Kosovo,72010,Emergency/distress relief,891689.2,153143545.328,Emergeny Disaster Relief
663071,2010,United States,Guatemala,16050,Multisector aid for social services,263669.0,150401289.18799996,Civil Society
652256,2010,United States,Guatemala,13020,Reproductive health care,245810.0,150401289.18799996,Health
623481,2010,United States,Guatemala,23064,Nuclear power plants,205107.0,150401289.18799996,Energy
561948,2010,United States,Guatemala,32140,Cottage industries & handicraft,140838.0,150401289.18799996,Agriculture/Env
614960,2010,United States,Guatemala,73010,Reconstruction relief and rehabilitation,536663.0,150401289.18799996,Emergeny Disaster Relief
823511,2010,United States,Guatemala,25020,Privatisation,837516.0,150401289.18799996,Banking/Business
960880,2010,United States,Guatemala,11220,Primary education,5498300.0,150401289.18799996,Education
5005,2010,United States,Guatemala,91010,Administrative costs,4007165.181,150401289.18799996,Administrative
45978,2010,United States,Guatemala,52010,Food aid/Food security programmes,43358062.84,150401289.18799996,Food
769608,2010,United States,Mali,31192,Plant/post-harvest prot. & pest ctrl,534584.0,142234669.59399998,Agriculture/Env
653283,2010,United States,Mali,15153,Media and free flow of information,742479.0,142234669.59399998,Civil Society
665178,2010,United States,Mali,12262,Malaria control,3212458.0,142234669.59399998,Health
705848,2010,United States,Mali,14010,Water resources policy/admin. mgmt,791977.0,142234669.59399998,Water
794514,2010,United States,Mali,25020,Privatisation,653381.0,142234669.59399998,Banking/Business
900554,2010,United States,Mali,11230,Basic life skills for youth & adults,1979940.0,142234669.59399998,Education
22628,2010,United States,Mali,21050,Air transport,901.8639999999999,142234669.59399998,Trans/Comm
34054,2010,United States,Mali,52010,Food security programmes/food aid,16604205.21,142234669.59399998,Food
261611,2010,United States,Mali,91010,Administrative costs,5837659.0,142234669.59399998,Administrative
381143,2010,United States,Mali,72010,Emergency/distress relief,49498.6,142234669.59399998,Emergeny Disaster Relief
782976,2010,United States,Lebanon,11420,Higher education,15489513.0,138964206.994,Education
878706,2010,United States,Lebanon,31110,Agricultural policy & admin. mgmt,1484960.0,138964206.994,Agriculture/Env
817564,2010,United States,Lebanon,16050,Multisector aid for social services,791977.0,138964206.994,Civil Society
892902,2010,United States,Lebanon,14020,Water supply & sanit. - large systems,1781950.0,138964206.994,Water
918203,2010,United States,Lebanon,25010,Business support services and institutions,2556730.0,138964206.994,Banking/Business
937499,2010,United States,Lebanon,23064,Nuclear power plants,3502280.0,138964206.994,Energy
152567,2010,United States,Lebanon,72010,Emergency/distress relief,24216124.509999998,138964206.994,Emergeny Disaster Relief
682155,2010,United States,Lebanon,11000,"Education, combinations of purposes",4058881.0,138964206.994,
9005,2010,United States,Lebanon,91010,Administrative costs,2182907.314,138964206.994,Administrative
841149,2010,United States,Moldova,25010,Business support services and institutions,2474931.0,136517710.355,Banking/Business
528798,2010,United States,Moldova,31181,Agricultural education/training,115827.0,136517710.355,Agriculture/Env
651934,2010,United States,Moldova,15130,Legal and judicial development,1702808.0,136517710.355,Civil Society
875726,2010,United States,Moldova,21020,Road transport,1435460.0,136517710.355,Trans/Comm
499762,2010,United States,Moldova,11430,Advanced tech. & managerial training,98997.1,136517710.355,Education
511083,2010,United States,Moldova,23064,Nuclear power plants,104888.0,136517710.355,Energy
682165,2010,United States,Moldova,12250,Infectious disease control,296991.0,136517710.355,Health
381147,2010,United States,Moldova,70000,"Emergency Assistance and Reconstruction, combinations of purposes",49498.6,136517710.355,Emergeny Disaster Relief
5414,2010,United States,Moldova,91010,Administrative costs,1180806.447,136517710.355,Administrative
355556,2010,United States,Chad,15130,Legal and judicial development,91986.1,134473229.292,Civil Society
801228,2010,United States,Chad,73010,Reconstruction relief and rehabilitation,4693506.0,134473229.292,Emergeny Disaster Relief
625774,2010,United States,Chad,12250,Infectious disease control,2049074.0,134473229.292,Health
374794,2010,United States,Chad,91010,Administrative costs,47677.0,134473229.292,Administrative
300241,2010,United States,Chad,41030,Bio-diversity,29699.1,134473229.292,Agriculture/Env
109058,2010,United States,Chad,52010,Food aid/Food security programmes,69325464.47,134473229.292,Food
541928,2010,United States,Niger,73010,Reconstruction relief and rehabilitation,22918407.0,122283547.91,Emergeny Disaster Relief
705851,2010,United States,Niger,15160,Human rights,346490.0,122283547.91,Civil Society
655133,2010,United States,Niger,12250,Infectious disease control,1813204.0,122283547.91,Health
615023,2010,United States,Niger,91010,Administrative costs,195234.0,122283547.91,Administrative
571859,2010,United States,Niger,43010,Multisector aid,3844837.0,122283547.91,Agriculture/Env
119844,2010,United States,Niger,52010,Food security programmes/food aid,26423039.18,122283547.91,Food
653276,2010,United States,Kazakhstan,25010,Business support services & institutions,1040903.0,120329772.99199998,Banking/Business
592268,2010,United States,Kazakhstan,23020,Power generat./non-renewable sources,978096.0,120329772.99199998,Energy
600682,2010,United States,Kazakhstan,13040,STD control including HIV/AIDS,356390.0,120329772.99199998,Health
616830,2010,United States,Kazakhstan,21030,Rail transport,846080.0,120329772.99199998,Trans/Comm
665176,2010,United States,Kazakhstan,15140,Government administration,267292.0,120329772.99199998,Civil Society
375883,2010,United States,Kazakhstan,31195,Livestock/veterinary services,48010.6,120329772.99199998,Agriculture/Env
499724,2010,United States,Kazakhstan,11430,Advanced tech. & managerial training,98997.1,120329772.99199998,Education
43134,2010,United States,Kazakhstan,99810,Sectors not specified,48149.240000000005,120329772.99199998,Administrative
525882,2010,United States,"N. & C. America, regional",41000,"General environmental protection, combinations of purposes",113847.0,119481840.16800001,Agriculture/Env
979712,2010,United States,"N. & C. America, regional",25010,Business support services and institutions,8533550.0,119481840.16800001,Banking/Business
922704,2010,United States,"N. & C. America, regional",15000,"Government and civil society, combination of activities",2752120.0,119481840.16800001,Civil Society
499769,2010,United States,"N. & C. America, regional",12250,Infectious disease control,816995.1,119481840.16800001,Health
344028,2010,United States,"N. & C. America, regional",72010,Emergency/distress relief,1154291.7,119481840.16800001,Emergeny Disaster Relief
10685,2010,United States,"N. & C. America, regional",91010,Administrative costs,2254285.248,119481840.16800001,Administrative
487810,2010,United States,India,15150,Strengthening civil society,1799799.4,118432000.553,Civil Society
582087,2010,United States,India,43082,Research/scientific institutions,158395.0,118432000.553,Agriculture/Env
460842,2010,United States,India,23030,Power generation/renewable sources,79197.7,118432000.553,Energy
617327,2010,United States,India,14010,Water resources policy and administrative management,197994.0,118432000.553,Water
449604,2010,United States,India,13000,"Population policies/ programmes and reproductive health, combinations of activities",13156715.8,118432000.553,Health
616702,2010,United States,India,70000,"Emergency Assistance and Reconstruction, combinations of purposes",197282.0,118432000.553,Emergeny Disaster Relief
522,2010,United States,India,91010,Administrative costs,5301619.085,118432000.553,Administrative
14752,2010,United States,India,11110,Education policy and administrative management,4720292.2530000005,118432000.553,Education
63954,2010,United States,India,21050,Air transport,12869.619999999999,118432000.553,Trans/Comm
239571,2010,United States,India,52010,Food aid/Food security programmes,3847029.3,118432000.553,Food
869431,2010,United States,El Salvador,33110,Trade policy and administrative management,1345930.0,109043979.21,Agriculture/Env
599994,2010,United States,El Salvador,15220,"Civilian peace-building, conflict prevention and resolution",177378.0,109043979.21,Civil Society
628130,2010,United States,El Salvador,23064,Nuclear power plants,210390.0,109043979.21,Energy
653261,2010,United States,El Salvador,24010,Financial policy and administrative management,247493.0,109043979.21,Banking/Business
773573,2010,United States,El Salvador,73010,Reconstruction relief and rehabilitation,552194.0,109043979.21,Emergeny Disaster Relief
927023,2010,United States,El Salvador,13000,"Population policies/ programmes and reproductive health, combinations of activities",2929930.0,109043979.21,Health
900157,2010,United States,El Salvador,11120,Education facilities and training,1968680.0,109043979.21,Education
908757,2010,United States,El Salvador,21020,Road transport,17500120.0,109043979.21,Trans/Comm
743509,2010,United States,El Salvador,60061,Debt for development swap,1130212.0,109043979.21,Food
79320,2010,United States,El Salvador,91010,Administrative costs,2137954.36,109043979.21,Administrative
239560,2010,United States,El Salvador,11000,"Education, combinations of purposes",673180.4,109043979.21,
327329,2010,United States,Namibia,41030,Bio-diversity,154049.4,108609747.621,Agriculture/Env
975426,2010,United States,Namibia,11110,Education policy & admin. management,7642500.0,108609747.621,Education
898657,2010,United States,Namibia,12263,Tuberculosis control,1930440.0,108609747.621,Health
725752,2010,United States,Namibia,23020,Power generat./non-renewable sources,395988.0,108609747.621,Energy
272862,2010,United States,Namibia,72010,Emergency/distress relief,24749.3,108609747.621,Emergeny Disaster Relief
36918,2010,United States,Namibia,15150,Strengthening civil society,1979667.81,108609747.621,Civil Society
449608,2010,United States,Kyrgyz Republic,13020,Reproductive health care,74247.8,108602358.677,Health
431375,2010,United States,Kyrgyz Republic,23064,Nuclear power plants,5940735.4,108602358.677,Energy
333148,2010,United States,Kyrgyz Republic,15210,Security system management and reform,967030.3,108602358.677,Civil Society
390231,2010,United States,Kyrgyz Republic,41040,Site preservation,52072.5,108602358.677,Agriculture/Env
381129,2010,United States,Kyrgyz Republic,73010,Reconstruction relief and rehabilitation,17255007.2,108602358.677,Emergeny Disaster Relief
653280,2010,United States,Kyrgyz Republic,25010,Business support services and institutions,247493.0,108602358.677,Banking/Business
334034,2010,United States,Kyrgyz Republic,11430,Advanced tech. & managerial training,136121.0,108602358.677,Education
22512,2010,United States,Kyrgyz Republic,99810,Sectors not specified,30529.674,108602358.677,Administrative
130470,2010,United States,Kyrgyz Republic,21010,Transport policy & admin. management,7779.19,108602358.677,Trans/Comm
841226,2010,United States,Yemen,31193,Agricultural financial services,989971.0,107768946.886,Agriculture/Env
744490,2010,United States,Yemen,11000,"Education, combinations of purposes",447615.0,107768946.886,
818927,2010,United States,Yemen,15110,Economic and development policy/planning,801213.0,107768946.886,Civil Society
880739,2010,United States,Yemen,13000,"Population policies/ programmes and reproductive health, combinations of activities",1516090.0,107768946.886,Health
885468,2010,United States,Yemen,25010,Business support services and institutions,1606960.0,107768946.886,Banking/Business
987838,2010,United States,Yemen,11220,Primary education,10742800.0,107768946.886,Education
715224,2010,United States,Yemen,23064,Nuclear power plants,368808.0,107768946.886,Energy
705864,2010,United States,Yemen,72010,Material relief assistance and services,23068935.0,107768946.886,Emergeny Disaster Relief
55183,2010,United States,Yemen,91010,Administrative costs,1894285.92,107768946.886,Administrative
569640,2010,United States,"Micronesia, Federated States of",12110,Health policy & admin. management,147294.0,106691248.86999999,Health
613244,2010,United States,"Micronesia, Federated States of",41010,Environmental policy and admin. mgmt,193044.0,106691248.86999999,Agriculture/Env
642208,2010,United States,"Micronesia, Federated States of",70000,"Emergency Assistance and Reconstruction, combinations of purposes",230168.0,106691248.86999999,Emergeny Disaster Relief
86606,2010,United States,"Micronesia, Federated States of",21050,Air transport,4426.16,106691248.86999999,Trans/Comm
496984,2010,United States,Viet Nam,31182,Agricultural research,97512.2,106022445.92699999,Agriculture/Env
381228,2010,United States,Viet Nam,70000,"Emergency Assistance and Reconstruction, combinations of purposes",49498.6,106022445.92699999,Emergeny Disaster Relief
422034,2010,United States,Viet Nam,15120,Public sector financial management,319093.5,106022445.92699999,Civil Society
425364,2010,United States,Viet Nam,21010,Transport policy & admin. management,64321.4,106022445.92699999,Trans/Comm
425403,2010,United States,Viet Nam,23010,Energy policy and admin. management,296788.2,106022445.92699999,Energy
505684,2010,United States,Viet Nam,24010,Financial policy & admin. management,474113.0,106022445.92699999,Banking/Business
32089,2010,United States,Viet Nam,13020,Reproductive health care,69376.16,106022445.92699999,Health
2231,2010,United States,Viet Nam,91010,Administrative costs,1086468.3290000001,106022445.92699999,Administrative
239607,2010,United States,Viet Nam,11420,Higher education,878708.8,106022445.92699999,Education
802481,2010,United States,Sri Lanka,73010,Reconstruction relief and rehabilitation,5558024.0,99058901.375,Emergeny Disaster Relief
663400,2010,United States,Sri Lanka,12250,Infectious disease control,264213.0,99058901.375,Health
682199,2010,United States,Sri Lanka,15240,Reintegration and salw control,5243527.0,99058901.375,Civil Society
743753,2010,United States,Sri Lanka,32130,Sme development,2590637.0,99058901.375,Agriculture/Env
892909,2010,United States,Sri Lanka,25010,Business support services & institutions,8018770.0,99058901.375,Banking/Business
925096,2010,United States,Sri Lanka,14020,Water supply and sanitation - large systems,2839090.0,99058901.375,Water
530489,2010,United States,Sri Lanka,23064,Nuclear power plants,7355304.0,99058901.375,Energy
546323,2010,United States,Sri Lanka,11110,Education policy and administrative management,1952409.0,99058901.375,Education
166,2010,United States,Sri Lanka,91010,Administrative costs,3124521.725,99058901.375,Administrative
758805,2010,United States,Angola,12262,Malaria control,1187966.0,97094029.36000001,Health
682072,2010,United States,Angola,15140,Government administration,2969911.0,97094029.36000001,Civil Society
715004,2010,United States,Angola,24010,Financial policy and administrative management,368269.0,97094029.36000001,Banking/Business
715005,2010,United States,Angola,33105,"Trade policy and regulations, purpose unspecified (includes trade and trade promotion activities) or does not fit under any other applicable codes",368269.0,97094029.36000001,Agriculture/Env
725687,2010,United States,Angola,14020,Water supply and sanitation - large systems,2960018.0,97094029.36000001,Water
859848,2010,United States,Angola,52010,Food security programmes/food aid,3151710.0,97094029.36000001,Food
790885,2010,United States,Angola,11000,"Education, combinations of purposes",633578.0,97094029.36000001,
822326,2010,United States,Angola,23040,Electrical transmission/distribution,1675031.0,97094029.36000001,Energy
270184,2010,United States,Angola,72010,Emergency/distress relief,2350683.9,97094029.36000001,Emergeny Disaster Relief
47668,2010,United States,Angola,91010,Administrative costs,2423309.43,97094029.36000001,Administrative
381046,2010,United States,Angola,11110,Education policy and administrative management,49498.6,97094029.36000001,Education
460161,2010,United States,Angola,21010,Transport policy & admin. management,78901.7,97094029.36000001,Trans/Comm
630989,2010,United States,"Asia, regional",24005,"Banking and financial services, purpose unspecified or does not fit under any other applicable codes",214032.0,95935706.238,Banking/Business
401584,2010,United States,"Asia, regional",12005,"Health, purpose unspecified or does not fit under any other applicable codes",55757.2,95935706.238,Health
460824,2010,United States,"Asia, regional",41000,"General environmental protection, combinations of purposes",19397640.7,95935706.238,Agriculture/Env
560406,2010,United States,"Asia, regional",15130,Legal and judicial development,1410196.0,95935706.238,Civil Society
1012746,2010,United States,"Asia, regional",11220,Primary education,27357900.0,95935706.238,Education
702200,2010,United States,"Asia, regional",21050,Air transport,338265.0,95935706.238,Trans/Comm
383032,2010,United States,"Asia, regional",70000,"Emergency Assistance and Reconstruction, combinations of purposes",3198697.5,95935706.238,Emergeny Disaster Relief
714,2010,United States,"Asia, regional",91010,Administrative costs,8758981.045,95935706.238,Administrative
24746,2010,United States,"Asia, regional",23010,Energy policy and admin. management,715024.971,95935706.238,Energy
177958,2010,United States,"Asia, regional",11000,"Education, combinations of purposes",198489.6,95935706.238,
239529,2010,United States,"Asia, regional",14020,Water supply & sanit. - large systems,7454481.4,95935706.238,Water
692359,2010,United States,Honduras,43040,Rural development,316296.0,92495845.04,Agriculture/Env
641189,2010,United States,Honduras,12000,"Health, combination of general, basic, and population policy/reproductive health purposes",3481357.0,92495845.04,Health
682303,2010,United States,Honduras,14031,Basic drinking water supply,297165.0,92495845.04,Water
686245,2010,United States,Honduras,11000,"Education, combinations of purposes",14277323.0,92495845.04,
871255,2010,United States,Honduras,15100,"Government and civil society, general, combination of activities",1376060.0,92495845.04,Civil Society
909632,2010,United States,Honduras,21020,Road transport,2242250.0,92495845.04,Trans/Comm
930854,2010,United States,Honduras,25010,Business support services and institutions,3108510.0,92495845.04,Banking/Business
539381,2010,United States,Honduras,72010,Material relief assistance and services,123510.0,92495845.04,Emergeny Disaster Relief
164,2010,United States,Honduras,91010,Administrative costs,2022429.744,92495845.04,Administrative
507316,2010,United States,Honduras,23064,Nuclear power plants,1013652.0,92495845.04,Energy
454961,2010,United States,Bolivia,24010,Financial policy and administrative management,76549.5,86698602.54100001,Banking/Business
399101,2010,United States,Bolivia,15153,Media and free flow of information,55004.8,86698602.54100001,Civil Society
422520,2010,United States,Bolivia,23064,Nuclear power plants,238274.8,86698602.54100001,Energy
449594,2010,United States,Bolivia,12000,"Health, combination of general, basic, and population policy/reproductive health purposes",722678.8,86698602.54100001,Health
587206,2010,United States,Bolivia,43010,Multisector aid,22344025.0,86698602.54100001,Agriculture/Env
34043,2010,United States,Bolivia,91010,Administrative costs,3392707.73,86698602.54100001,Administrative
571065,2010,United States,China,41000,"General environmental protection, combinations of purposes",7131670.0,86223670.076,Agriculture/Env
487789,2010,United States,China,23064,Nuclear power plants,8492961.5,86223670.076,Energy
379103,2010,United States,China,74010,Disaster prevention and preparedness,48911.5,86223670.076,Emergeny Disaster Relief
617294,2010,United States,China,25010,Business support services and institutions,593982.0,86223670.076,Banking/Business
649159,2010,United States,China,15130,Legal and judicial development,7119511.0,86223670.076,Civil Society
682115,2010,United States,China,11420,Higher education,296991.0,86223670.076,Education
868890,2010,United States,China,12110,Health policy & admin. management,1336460.0,86223670.076,Health
1787,2010,United States,China,91010,Administrative costs,2206658.613,86223670.076,Administrative
45972,2010,United States,China,21050,Air transport,541820.15,86223670.076,Trans/Comm
341345,2010,United States,China,14010,Water resources policy/admin. mgmt,622479.7,86223670.076,Water
381099,2010,United States,Cote D'Ivoire,12250,Infectious disease control,2556943.6,82287776.89,Health
805135,2010,United States,Cote D'Ivoire,23064,Nuclear power plants,712126.0,82287776.89,Energy
449697,2010,United States,Cote D'Ivoire,15150,Democratic participation and civil society,74281.5,82287776.89,Civil Society
249597,2010,United States,Cote D'Ivoire,72010,Emergency/distress relief,21076.5,82287776.89,Emergeny Disaster Relief
291789,2010,United States,Cote D'Ivoire,41030,Bio-diversity,152087.4,82287776.89,Agriculture/Env
350464,2010,United States,Madagascar,15120,Public sector financial management,41254.1,80221844.589,Civil Society
907253,2010,United States,Madagascar,13030,Family planning,2168810.0,80221844.589,Health
750879,2010,United States,Madagascar,14020,Water supply and sanitation - large systems,6230702.0,80221844.589,Water
425432,2010,United States,Madagascar,70000,"Emergency Assistance and Reconstruction, combinations of purposes",2405627.2,80221844.589,Emergeny Disaster Relief
7084,2010,United States,Madagascar,52010,Food security programmes/food aid,16417087.841,80221844.589,Food
13888,2010,United States,Madagascar,91010,Administrative costs,1004914.958,80221844.589,Administrative
214223,2010,United States,Madagascar,43010,Multisector aid,2173856.8,80221844.589,Agriculture/Env
841066,2010,United States,Cambodia,12240,Basic nutrition,989971.0,79876865.18800001,Health
592206,2010,United States,Cambodia,15160,Human rights,168808.0,79876865.18800001,Civil Society
716162,2010,United States,Cambodia,25010,Business support services and institutions,3864849.0,79876865.18800001,Banking/Business
856886,2010,United States,Cambodia,31110,Agricultural policy and administrative management,1162710.0,79876865.18800001,Agriculture/Env
571063,2010,United States,Cambodia,11110,Education policy and administrative management,148496.0,79876865.18800001,Education
77,2010,United States,Cambodia,91010,Administrative costs,2637665.37,79876865.18800001,Administrative
112882,2010,United States,Cambodia,52010,Food security programmes/food aid,5429396.109999999,79876865.18800001,Food
179119,2010,United States,Cambodia,23064,Nuclear power plants,144584.2,79876865.18800001,Energy
820081,2010,United States,Dominican Republic,23064,Nuclear power plants,3038975.0,76834003.478,Energy
499698,2010,United States,Dominican Republic,91010,Administrative costs,1984349.1,76834003.478,Administrative
615531,2010,United States,Dominican Republic,11110,Education policy & admin. management,195916.0,76834003.478,Education
617304,2010,United States,Dominican Republic,15150,Strengthening civil society,2556107.0,76834003.478,Civil Society
695088,2010,United States,Dominican Republic,12100,"Health, general, combinations of activities",321741.0,76834003.478,Health
927164,2010,United States,Dominican Republic,25020,Privatisation,2934270.0,76834003.478,Banking/Business
878684,2010,United States,Dominican Republic,33110,Trade policy and administrative management,1484960.0,76834003.478,Agriculture/Env
381102,2010,United States,Dominican Republic,11000,"Education, combinations of purposes",49498.6,76834003.478,
272822,2010,United States,Dominican Republic,72010,Material relief assistance and services,2127643.3,76834003.478,Emergeny Disaster Relief
358855,2010,United States,Dominican Republic,52010,Food security programmes/food aid,8113555.4,76834003.478,Food
725685,2010,United States,"America, regional",12220,Basic health care,2922398.0,71735181.364,Health
486507,2010,United States,"America, regional",15153,Media and free flow of information,239964.8,71735181.364,Civil Society
487409,2010,United States,"America, regional",31110,Agricultural policy & admin. mgmt,92364.3,71735181.364,Agriculture/Env
495947,2010,United States,"America, regional",11110,Education policy and administrative management,1098649.2,71735181.364,Education
762297,2010,United States,"America, regional",72010,Material relief assistance and services,16939114.0,71735181.364,Emergeny Disaster Relief
934763,2010,United States,"America, regional",11000,"Education, combinations of purposes",3341150.0,71735181.364,
11078,2010,United States,"America, regional",91010,Administrative costs,2075689.188,71735181.364,Administrative
425267,2010,United States,"America, regional",23067,Solar energy,64271.9,71735181.364,Energy
249399,2010,United States,"America, regional",21050,Air transport,225960.9,71735181.364,Trans/Comm
758987,2010,United States,Thailand,15150,Democratic participation and civil society,3068906.0,70504785.864,Civil Society
571118,2010,United States,Thailand,12110,Health policy & admin. management,389296.0,70504785.864,Health
571119,2010,United States,Thailand,43082,Research/scientific institutions,148496.0,70504785.864,Agriculture/Env
758986,2010,United States,Thailand,11420,Higher education,494986.0,70504785.864,Education
272877,2010,United States,Thailand,72010,Emergency/distress relief,30703263.5,70504785.864,Emergeny Disaster Relief
18760,2010,United States,Thailand,23064,Nuclear power plants,3626353.018,70504785.864,Energy
9074,2010,United States,Thailand,91010,Administrative costs,592753.213,70504785.864,Administrative
543811,2010,United States,Marshall Islands,70000,"Emergency Assistance and Reconstruction, combinations of purposes",126772.0,67305170.1,Emergeny Disaster Relief
490663,2010,United States,Marshall Islands,43010,Multisector aid,67107203.3,67305170.1,Agriculture/Env
509344,2010,United States,Benin,70000,"Emergency Assistance and Reconstruction, combinations of purposes",103947.0,65477360.019999996,Emergeny Disaster Relief
1001172,2010,United States,Benin,21040,Water transport,16690200.0,65477360.019999996,Trans/Comm
914806,2010,United States,Benin,13000,"Population policies/ programmes and reproductive health, combinations of activities",2422460.0,65477360.019999996,Health
798917,2010,United States,Benin,24040,Informal/semi-formal fin. intermed.,680276.0,65477360.019999996,Banking/Business
758521,2010,United States,Benin,23064,Nuclear power plants,494028.0,65477360.019999996,Energy
645740,2010,United States,Benin,31181,Agricultural education/training,235267.0,65477360.019999996,Agriculture/Env
640514,2010,United States,Benin,52010,Food security programmes/food aid,1265874.0,65477360.019999996,Food
617266,2010,United States,Benin,16050,Multisector aid for social services,197994.0,65477360.019999996,Civil Society
546316,2010,United States,Benin,91010,Administrative costs,2311089.0,65477360.019999996,Administrative
499629,2010,United States,Benin,11110,Education policy and administrative management,98997.1,65477360.019999996,Education
79314,2010,United States,Benin,11000,"Education, combinations of purposes",4328389.88,65477360.019999996,
659822,2010,United States,Armenia,16050,Multisector aid for social services,555042.0,63921526.022999994,Civil Society
571038,2010,United States,Armenia,12250,Infectious & Parasitic disease control,494986.0,63921526.022999994,Health
578076,2010,United States,Armenia,24005,"Banking and financial services, purpose unspecified or does not fit under any other applicable codes",154571.0,63921526.022999994,Banking/Business
617255,2010,United States,Armenia,23010,Energy policy and administrative management,3979688.0,63921526.022999994,Energy
653235,2010,United States,Armenia,11430,Advanced tech. & managerial training,247493.0,63921526.022999994,Education
753307,2010,United States,Armenia,14020,Water supply and sanitation - large systems,475424.0,63921526.022999994,Water
782937,2010,United States,Armenia,43082,Research/scientific institutions,593983.0,63921526.022999994,Agriculture/Env
456065,2010,United States,Armenia,70000,"Emergency Assistance and Reconstruction, combinations of purposes",986127.1,63921526.022999994,Emergeny Disaster Relief
1660,2010,United States,Armenia,91010,Administrative costs,2123639.326,63921526.022999994,Administrative
617391,2010,United States,Tajikistan,31120,Agricultural development,6460154.0,63289379.004,Agriculture/Env
682203,2010,United States,Tajikistan,13000,"Population policies/ programmes and reproductive health, combinations of activities",1214239.0,63289379.004,Health
653306,2010,United States,Tajikistan,15250,Land mine clearance,1546723.0,63289379.004,Civil Society
